Participant,Activity,Mean,Std,Skewness,Max,Min,Max-Min,Max PSD,Max Frequency,Frequency Centroid,Frequency Bandwidth,Frequency Skewness,Spectral Entropy
Participant 1,walking,0.5313431324508197,0.9840055286095626,-0.017931179939279996,1.0887515511047527,-0.8529925868124698,1.0287184223440864,0.3867647392546119,0.2667082675821122,-0.3389658653436402,-0.7238284078500693,0.03867920215277629,-0.8077224622820566
Participant 1,walking,0.5044566507548729,0.8907006922711667,-0.16444861364578228,0.9127180773583529,-0.8876155467148901,0.918107928470024,0.34361833752573834,-0.4939355014388506,-0.3119738034050518,-0.684307536016595,-0.21555886219108628,-0.7240555536350544
Participant 1,walking,0.4606856922490071,0.914911564420547,-0.05832213347640763,0.9646933589597758,-0.8972926316203637,0.9571926662898356,0.27411746370064494,-0.4939355014388506,-0.32314745572964554,-0.7846271550933518,-0.28382489731576327,-0.7657082329036713
Participant 1,walking,0.409262811707999,0.8188426199798714,-0.09164516809723801,0.8155247222859472,-0.9637471064877117,0.8754481079712331,0.3045090473057398,-0.4939355014388506,-0.34333189933597236,-0.6162957917586009,-0.1158499253510406,-0.47300815833568244
Participant 1,walking,0.5069958560500194,0.9546148720089664,-0.09240423778273014,0.8257621097372707,-0.8844981877859379,0.8569396351431641,0.4088117837371215,-0.4939355014388506,-0.28332482092884004,-0.6511424438922264,-0.2727279854400064,-0.850236491354944
Participant 1,walking,0.4646096653912221,0.8638534143958647,-0.10984709897345377,0.9021193885236346,-0.8758119065890655,0.9069634132843666,0.31996162920294874,-0.4939355014388506,-0.3101071997503012,-0.6385792639583682,-0.07060528538638867,-0.6729013686750428
Participant 1,walking,0.5128969581395956,0.8550700501479648,-0.2161568030101711,0.7392688869480321,-0.8655532920365673,0.790980413267593,0.41401196621616576,-0.4939355014388506,-0.3622328606120923,-0.6992611995558666,-0.12440591690937824,-0.7119065914794628
Participant 1,walking,0.3938711922367946,0.7500870519456259,-0.1819085987929932,0.8240243034625921,-0.8788209612782825,0.8539040008952887,0.22924139887829773,-0.4939355014388506,-0.4371966780287747,-0.6940297203187462,0.10121977278803733,-0.4545625051292693
Participant 1,walking,0.4162472564498322,0.8081304146493685,-0.1748667097408202,0.8221444676230458,-0.8216486007712703,0.8341411093695957,0.38166869481992016,-0.4939355014388506,-0.340897987874049,-0.6624671695161181,-0.15771776111117058,-0.5524223478153887
Participant 1,standing,-0.7581736441978691,-1.3119429360273005,0.6225063215537268,-1.3731137459288536,1.4421104651178447,-1.4156981754497138,-0.8475018903247825,0.41883702138630474,0.958691479924589,1.2659229371692977,-0.7834613918065859,0.8992299126249043
Participant 1,standing,-0.7606947722032547,-1.3140531984721011,3.973351039138073,-1.3290064295176087,1.4178607232953715,-1.3773511380311239,-0.8474223358889614,1.787995805624038,0.2640570152736188,-0.3403931065882151,0.3269863595341623,0.8994075669398025
Participant 1,standing,-0.7687918356198702,-1.233466265398718,3.361344874458973,-1.0665790658403973,1.1326567541555854,-1.1036882481109946,-0.845144183254,-0.4939355014388506,-0.9300533349445386,-1.3710662181428062,0.7643444124453758,0.8995002688753612
Participant 1,standing,-0.7754822643157231,-1.325992888247391,3.569097585229359,-1.381035322715259,1.5284580532814067,-1.449062493082516,-0.847531489651211,1.4076739211135565,2.001282828850308,1.8525921622286887,-1.5028201675749535,0.8991711992940625
Participant 1,standing,-0.744370393288352,-1.2836121807760505,-0.8555597543710647,-1.3527824918144709,1.2721557303325952,-1.3467493422171317,-0.8472737861733995,-0.34180674763465807,-0.4035853130225097,-0.3447277605660675,0.4861474594752945,0.899604118570791
Participant 1,standing,-0.7477227535484339,-1.3074235673121466,0.7340787651321797,-1.3570176977522876,1.4342346955011895,-1.4020186421780085,-0.8471666059733016,-0.34180674763465807,-0.4897052473896232,-0.2750485601867483,0.6159541744251723,0.8994498312888677
Participant 1,standing,-0.7563477524692427,-1.329006687522054,0.6567882919799094,-1.4136131741115079,1.5354979051191868,-1.4738752401499298,-0.8475291020672275,2.852897082253386,2.025921462034421,1.88069968889544,-1.6090470987241055,0.8991718812695948
Participant 1,standing,-0.7594988215900325,-1.332288398936168,-0.7945147849322296,-1.4470792518525748,1.5239889033665315,-1.4933126563104537,-0.8475308692867967,1.9401245594282304,2.067483881497013,1.6363842203609489,-1.6217792914495186,0.899168174197992
Participant 1,standing,-0.7609162307352916,-1.3319767373913376,-0.47178020294199613,-1.44822230552423,1.5597513568715824,-1.5056520319463509,-0.8475315123049654,3.5374764743722524,2.049225024168025,1.6189381955400748,-1.5980175040023197,0.8991732647948706
Participant 1,jogging,3.385207078617771,2.0753872714925157,-0.39672817421884393,1.1539644876422952,-1.0291942298867587,1.1307365090698385,3.4583945827337517,-0.1896779938304655,-0.33142230528254274,0.019558751839026077,0.4514459090254366,-3.664848820833501
Participant 1,jogging,2.5848260522516973,1.9992919625681733,-0.2679356990884631,1.2846405922574005,-0.9976574015204859,1.2109624978687166,3.5558723880114513,-0.1896779938304655,-0.4211828346898305,-0.27129746249196307,0.503783986718659,-3.2065535819193816
Participant 1,jogging,3.3661830766471588,2.0864817172379597,-0.37788217884829584,1.1980154982741176,-1.0790929718361777,1.1773272571637183,3.003765949449572,-0.11361361692836922,-0.3201135199801536,-0.2423186418339566,0.5578269075292835,-3.7656615621106138
Participant 1,jogging,2.6677354550703174,2.0211698019642745,-0.2853197006787317,1.1997889695973958,-1.189941944553753,1.2143500019915683,2.803254345625582,-0.1896779938304655,-0.35768221049690657,-0.20100561190417998,0.5741995669587489,-3.3053590709093776
Participant 1,jogging,2.9294683570016344,2.0403139354691513,-0.3028134810594766,1.0750682979190962,-1.1102549841014653,1.1023275750160135,3.0058962565450567,-0.1896779938304655,-0.30211786481533076,-0.20002590093985947,0.5314182326135983,-3.6462256367434973
Participant 1,jogging,2.581186667367163,1.8670618410701927,-0.36102438282275406,0.9287349010682125,-1.1891160855165621,1.0265510065666825,3.1156970472626666,-0.1896779938304655,-0.4432975371496338,-0.16714616532560891,0.6479338305418509,-2.887110308101143
Participant 1,jogging,2.478527124354703,1.945022239213201,-0.34664175549793524,0.9610261748443314,-1.1199455743610296,1.0265553590291772,4.040819258083002,-0.1896779938304655,-0.4380764801889989,-0.10532281143888661,0.6544534407954,-3.2253938492779275
Participant 1,jogging,2.1501765567066884,1.8286292400359374,-0.2271700078528317,1.0119502658919795,-0.9223583265848789,0.9979822796439833,3.0759551885448344,-0.1896779938304655,-0.47116312452192716,-0.42823135626388764,0.5655536796565324,-2.7472251679169712
Participant 1,jogging,2.63680227092985,1.9938586521836912,-0.31262159064749856,1.0415796336001144,-1.005547110058121,1.0453453641621575,3.696203397821441,-0.1896779938304655,-0.3517184253946936,0.20952820062333188,0.504971623302562,-3.152871809590337
Participant 1,sitting,-0.809507547469322,-1.3253381916525486,-0.8418558747070823,-1.4508460415066426,1.4996849535740238,-1.488070440932681,-0.8475228889587575,1.864060182526134,1.6442453182666366,1.2870281724573664,-1.3063554332404639,0.8992168370808248
Participant 1,sitting,-0.8085514989086858,-1.3282421350993157,-0.2636291848954602,-1.4511221468277857,1.5427313047393,-1.5021621492030985,-0.8475251175367777,1.4837382980156526,1.7288056646177243,1.4594352484355324,-1.3696446786537027,0.8992031577971152
Participant 1,sitting,-0.8078438179055771,-1.327654569865845,-0.43933134352919956,-1.449702901049125,1.537658639938589,-1.499542142426955,-0.8475237526717005,3.1571545898617708,1.8714430189878852,1.5624712973335788,-1.4444419868387275,0.8992154081148573
Participant 1,sitting,-0.8043165343777998,-1.3191917148713226,0.9913432810330035,-1.3892245700823154,1.4969161066265413,-1.4445426932223615,-0.8475046311664963,2.092253313232423,1.4371036998462787,1.0518150198707408,-1.1605115818791902,0.8993234579782065
Participant 1,sitting,-0.8051047862365025,-1.3274313423768245,-0.42698080730679244,-1.437090719510249,1.5212372641317384,-1.4855133902828501,-0.8475273653788444,4.678442127903697,1.8575397232163315,1.826390367609564,-1.46533454970203,0.899201175925426
Participant 1,sitting,-0.8059945508263736,-1.321797490351388,-0.37572562886147953,-1.4334123040734188,1.5054902916157302,-1.4778833618966354,-0.8475101736378964,0.6470301520925936,1.3794416561647629,0.8966886173589871,-1.0751159936336434,0.8992750766621345
Participant 1,sitting,-0.8045542386110272,-1.3242767166154494,-0.5587642130033839,-1.4394653632713932,1.5103673736422591,-1.4836461748682728,-0.8475151222061503,0.8752232827988825,1.5013695700976004,1.269853697031372,-1.0520894833082053,0.8992529989138534
Participant 1,sitting,-0.8060600881241635,-1.320348630427672,-0.5553182821615739,-1.4257392478688797,1.47437119623852,-1.4625255682758276,-0.8475140286552321,2.0161889363303267,1.7429575027889992,0.9835147555052225,-1.176458025631797,0.8992903169785771
Participant 1,sitting,-0.8008244147525563,-1.3277717478605793,-0.38067459915082824,-1.435026648547998,1.5393055743090491,-1.4899200189042328,-0.847527888241344,1.7119314287219416,1.9572022788256738,1.986882357768066,-1.4410780321063936,0.8992126341873978
Participant 1,biking,-0.7030110163746413,-0.9428489842733646,-0.20810210569447912,-0.9480931778411648,0.649963070796211,-0.8658390700736528,-0.8205154169339549,-1.0263861397535246,-0.3888964428368969,0.225175723303876,-0.2037006538705012,0.8885213520904587
Participant 1,biking,-0.6935897014204729,-0.7567424754578391,0.12127994978683505,-0.5340588420700773,0.5396242401582754,-0.5437529855621575,-0.7815241682315941,-0.9503217628514283,-0.1945838303587473,0.24929184652356318,-0.4245075453374282,0.8560719451865068
Participant 1,biking,-0.714631115889293,-0.6506440918485801,-0.0396123434346581,-0.773877393177331,0.3558782233594357,-0.6503386711195449,-0.7769874973932333,-0.9503217628514283,-0.16855704292308363,0.06326590224278236,-0.1337762774086291,0.8303410714805625
Participant 1,biking,-0.7151541912855688,-0.7175138438313278,-0.19291314979697452,-0.7688999112060392,0.43526918166648326,-0.6725321463548894,-0.7888062388671597,-0.9503217628514283,-0.3823877312689449,-0.07941014383375429,0.029185281215189558,0.8509417739069449
Participant 1,biking,-0.7179144143793806,-0.6236330124883349,0.1074403724804375,-0.12802623146538708,0.2019974197513943,-0.15380635137583615,-0.7730876571692299,0.41883702138630474,-0.18605241489860774,-0.24227714903333172,-0.15089282871794082,0.8197319810054229
Participant 1,biking,-0.6970747875313986,-0.665373045916966,0.1793932051912399,-0.36050841132106676,0.28432292573999907,-0.34123703718028203,-0.8116307821662597,0.19064389068001591,0.053212505022686006,0.029298938923568083,-0.2887941786711183,0.8359193172447351
Participant 1,biking,-0.7477769040584018,-0.6800975979298409,-0.237042996582852,-0.7127040472076395,0.2523638607789268,-0.5745878637814147,-0.7766085441582693,-0.9503217628514283,-0.006971008063275943,0.41149686184573075,-0.3102658224653817,0.8370529229787951
Participant 1,biking,-0.722648119841421,-0.905192885884086,-0.07860790353885744,-0.66826980635875,0.6025501967679087,-0.6569288726136491,-0.8012875519703129,-0.9503217628514283,-0.35526173010673234,0.6193600698117184,-0.3407855384859984,0.8831254060528971
Participant 1,biking,-0.717272212783195,-0.8491621273088894,-0.009333328413910585,-0.6051365076872199,0.6363318922217068,-0.6241581788926561,-0.8108764228469953,-0.9503217628514283,0.19362369328353518,1.0213262483545296,-0.5811773245618491,0.8750105141911989
Participant 1,upstairs,0.3037515668250229,0.8159167584209247,-0.19543737984002887,1.229535891068256,-1.2180436275943856,1.2440054947488413,0.016423533826252907,-0.34180674763465807,-0.7067765450017198,-0.426687330807106,0.8814235161118957,-0.6413939149308657
Participant 1,upstairs,0.16664478927036658,0.6815939519385553,-0.18463196435045434,0.9149835282020589,-1.1734845153018865,1.0119891368256435,-0.41941855846871035,-0.4939355014388506,-0.5631066973826938,-0.5771459511281426,0.3851485536901657,-0.2806990101444926
Participant 1,upstairs,-0.1103963884668059,0.42860728674824006,-0.21410667447181714,0.4480225526688394,-0.8451972939170601,0.5829043922746585,0.21138686493158126,-0.4939355014388506,-0.7905522386781811,-0.6620171927390378,0.5436306115741107,-0.024684120513136287
Participant 1,upstairs,0.05141896325822571,0.5992498835190552,-0.16021370840950128,1.1245960429910264,-1.0688165649653047,1.1232125518391651,0.18386981361160304,-0.34180674763465807,-0.8471851681254168,-0.7571974864625978,0.9277806543337378,-0.26690641869982984
Participant 1,upstairs,-0.0038221445851270744,0.6094797864797027,-0.23458242157007844,0.9294765933265866,-1.0581993848316495,0.9847880683309304,0.4350017320459756,-0.41787112453675435,-0.793478870972775,-0.5683551281838047,0.8870600222937196,-0.256219476470743
Participant 1,upstairs,-0.11376654678205665,0.5471447832535646,-0.2661566321981926,0.7855534377524697,-1.211692927058593,0.9347796307348547,0.2384046909993076,-0.41787112453675435,-0.7184300730218028,-0.43297251910692003,0.5532624825229969,-0.11606532446368766
Participant 1,upstairs,-0.06003793542126541,0.4441857929668094,-0.17960230104552022,0.6724990972556683,-0.8460369632670605,0.7384825776204648,0.12335961101421827,-0.41787112453675435,-0.9179610237304212,-0.7941722674830298,1.078494538359441,-0.015003409240900363
Participant 1,upstairs,-0.0775488107431844,0.47562860296196435,-0.1189541887529248,0.6626869532296028,-0.8556915669258531,0.734811616345318,0.13213571382822537,-0.41787112453675435,-0.9012854069168257,-0.6661775041681322,1.1278810454422696,-0.04161804886602309
Participant 1,upstairs,-0.031011863850208845,0.5843524159381837,-0.27613217312692623,0.42660170025205,-1.0010116327618643,0.6184002168942231,0.2544282418015819,-0.41787112453675435,-0.8574577222746549,-0.6441186991398399,0.8636476161549537,-0.24621429205602532
Participant 1,downstairs,0.6567154431121118,1.08144695903464,-0.2050131975208798,0.9238714232295394,-1.086828589883833,0.990155102979329,0.16042002013513157,-0.41787112453675435,-0.037380836483337496,0.1554615884525633,-0.057934889048449456,-0.9239161256579141
Participant 1,downstairs,0.5245925943756532,1.1677917321371918,-0.14270744629755922,0.8598031872595303,-1.198310724922161,0.9818288636194875,-0.23057690359732694,-0.4939355014388506,0.0034940956129362643,-0.09481006651960253,-0.28944703046075426,-0.8040328225908892
Participant 1,downstairs,0.16553624498305167,0.9633924291225391,-0.15727022978410796,1.061979401393985,-1.0897628464697704,1.086654456445561,-0.1446518027537842,-0.11361361692836922,-0.4695391525289453,-0.5335753648500796,0.439413538234962,-0.7092145229742629
Participant 1,downstairs,0.4940460857182458,0.9924276763626182,0.043094559268549444,1.1066544113474468,-0.9836454329563129,1.0832956334819095,-0.3360900972703794,-0.5699998783409469,0.017383756697251118,0.23942144965323123,-0.11596189640048234,-0.6223528076837426
Participant 1,downstairs,0.1454941739078937,0.9712073113372629,0.007734370872801063,0.9978160573380018,-1.0889093625448418,1.041986596731611,-0.003149063560646916,-0.2657423707325618,-0.47363939916242076,-0.3756274462757718,0.40988050918125984,-0.7045193987387628
Participant 1,downstairs,0.17155767579268338,0.9266974933456037,-0.1324953124409913,1.0699605589135779,-1.1602259738567222,1.1149305290827,-0.10326815394915387,-0.2657423707325618,-0.40333955596615995,-0.1553532314147166,0.3754799597229803,-0.6351559668644695
Participant 1,downstairs,0.2068994349993912,0.9789863851962939,-0.12855840631019397,1.1137369429132422,-1.2199456372633257,1.164502680116525,0.0005940989406101008,-0.1896779938304655,-0.25834466383494803,-0.040931491822677836,0.08357332295600196,-0.7207303860556419
Participant 1,downstairs,0.40636794523405456,0.841020688968304,0.03893899710071214,1.1765937060309586,-0.9947085856564316,1.1352566028998534,-0.1583143564034034,-0.037549240026272926,-0.27326580905699394,-0.15944749839694486,0.12397030362431573,-0.5939070992613041
Participant 1,downstairs,0.2042809258857067,0.7590481375726209,-0.09169302679659472,0.9668816897560097,-0.9341118200364297,0.9705964751946196,-0.2277440245963854,-0.5699998783409469,-0.22364649534217745,0.07890883354867152,-0.10517651951524586,-0.28644561508032607
