Participant,Activity,Mean,Std,Skewness,Max,Min,Max-Min,Max PSD,Max Frequency,Frequency Centroid,Frequency Bandwidth,Frequency Skewness,Spectral Entropy
Participant 1,walking,-0.02661568789954287,0.05228529108784841,-0.1772972338485445,-0.12889404621720194,0.201086101090713,-0.15515825456543816,-0.25131877616353304,-0.519529902127265,-0.668162345496049,-0.7217406474242929,0.25642069449723787,0.2909872421230927
Participant 1,walking,-0.04592169155114549,0.11306418707879867,-0.2370893593166029,-0.1964256987480377,0.170963551923589,-0.19614764896969206,-0.17107698621666304,-0.519529902127265,-0.6855092836089616,-0.7232809654014511,0.2478776945548819,0.2589342505958738
Participant 1,walking,-0.31407764870756066,0.1346611304371885,-0.41655342833234643,-0.2872282883380695,-0.0906590890180731,-0.18548136926147077,-0.05288932361695105,-0.519529902127265,-0.7291184231921342,-0.7866534988806921,0.5773922741511532,0.20968289003824456
Participant 1,walking,-0.2950812914512667,0.005396161896373489,-0.263710379590824,-0.34797070908283495,0.18756696545303725,-0.3131787240873608,-0.1809859008070986,-0.519529902127265,-0.7069076089444501,-0.7612736788021525,0.3746807332124693,0.32051412575294486
Participant 1,walking,-0.28240116464339726,0.12005746324536774,-0.4815502451652627,-0.38994061476062797,0.00802188711980994,-0.29080986646784956,-0.07693668558806518,-0.519529902127265,-0.7470283488436308,-0.8058413443269232,0.6679102133037024,0.21328023555587194
Participant 1,walking,-0.25485337094880656,0.05829363787950844,-0.4497342570465566,-0.4076427410248239,-0.34611097337545854,-0.1985535185575855,-0.10481971129803544,-0.519529902127265,-0.7436605601496794,-0.8278296031366941,0.5579361181203527,0.26586011454787256
Participant 1,walking,-0.19277608223973378,0.08647236928173285,-0.34230527799573746,-0.32676223823476064,0.19914541744642578,-0.3009361056560949,-0.13124110079046972,-0.519529902127265,-0.7237236986086548,-0.7701311072057803,0.3473836897901376,0.26802501363502024
Participant 1,walking,-0.48678591562828666,0.030354854034318698,-0.5702352077585825,-0.47906953745724346,-0.080158906733486,-0.3305023271726087,-0.1309811759743688,-0.519529902127265,-0.7393888491538336,-0.792700169570473,0.4878299373930674,0.2982017105831138
Participant 1,walking,-0.3609385499847637,0.042229262090155664,-0.4999243367519902,-0.4020112186567074,0.19260981337308433,-0.3546505066853034,-0.0632816123666068,-0.519529902127265,-0.7541544339273654,-0.7870229202143173,0.6458342020639463,0.27226052490783764
Participant 1,standing,-0.7167746128743466,-1.1161590877402425,-0.21761792508214592,-1.2316422034615302,1.1581204352767906,-1.2555221312296736,-0.5679582647147501,-0.24255615111405918,0.45048570163198903,1.2414646484143828,-0.8484861509433235,0.5972906299739333
